,Date,User,Reviews,Critics_Strength
0,2021-02-12,/critic/david-walsh,"
                    One feels ashamed for the performers and crewmembers involved, and one feels embarrassed to have watched the film.
                ",0
1,2021-02-02,/critic/richard-crouse,"
                    Once the scenery changes from Hollywood to the hermit kingdom, however, the laughs become as rare as Angelina Jolie compliments in leaked Sony e-mails.
                ",0
2,2020-12-04,/critic/mike-massie,"
                    Editing shortcomings and storyline inattentiveness betray a production plagued by studio interference.
                ",0
3,2020-07-07,/critic/brent-mcknight,"
                    A silly, enjoyable enough movie that's destined to be remembered for things that have nothing to do with what's on screen.
                ",1
4,2020-06-16,/critic/matthew-rozsa,"
                    At its core, The Interview has a remarkably insightful thesis about human nature and politics.
                ",1
5,2020-01-09,/critic/chris-mccoy,"
                    Rogan and company didn't do anything but set out to make a funny movie, and they were reasonably successful. The filmmakers were just artists doing their job, until they got swept up in something bigger. Maybe that's how art is supposed to work.
                ",1
6,2019-08-07,/critic/matthew-lucas,"
                    These aren't just two stoner dudes who bumbled their way into a real world crisis like in the movie, these are two very smart comedians who turned a seemingly innocuous comedy into a real life act of defiance.
                ",1
7,2019-06-24,/critic/nick-rogers,"
                    Headlines strained to politicize the film. But it's merely a crass, caustic comedy whose point of view is to not let cultural coverage brainwash the best out of us - whether it involves human rights or celebrity hairpieces.
                ",1
8,2019-05-17,/critic/christopher-preston,"
                    Mediocre comedy and the lamest act of war ever.
                ",0
9,2019-04-04,/critic/julia-alexander,"
                    The Interview may have benefited in investing more energy in compiling a stronger supporting cast -- this would have at least allowed the humour to potentially branch out and find new gags that unfortunately weren't present.
                ",0
10,2019-01-24,/critic/micheal-compton,"
                    Franco and Rogen are amiable enough in the lead roles, with good chemistry that has developed from previous collaborations.
                ",1
11,2018-10-24,/critic/aaron-peterson,"
                    The Interview is a forgettable comedy with an unforgettable advertising campaign, yet should still be seen for the amount of risks the filmmakers took to get it made at all.
                ",0
12,2018-05-22,/critic/annalee-newitz,"
                    It's ground zero for our current culture wars - not because it's a good movie, but because it is bad in an unexpectedly revealing way.
                ",0
13,2018-02-16,/critic/camilla-long,"
                    I would have willingly taken several strips of ricin myself to be spared a single extra minute of the terrible, gurning, prancing, toweringly irritating piece of idiot ham that is Franco.
                ",0
14,2017-12-02,/critic/robert-kojder,"
                    I couldn't believe what I was going to watch when I had first seen the trailer, and those lofty expectations were met
                ",1
15,2017-10-13,/critic/sarah-marrs,"
                    The Interview in a nutshell: Half-baked and ultimately forgettable.
                ",0
16,2017-08-11,/critic/julia-zdrojewski,"
                    Its important to note that the movie is not so much a political satire as much as it is the typical Rogen-Franco-pot-filled-film we've come to expect.
                ",1
17,2017-06-02,/critic/danielle-riendeau,"
                    The Interview is gross and racist, and most of the time, it's not even funny.
                ",0
18,2017-04-25,/critic/nicolas-ruiz,"
                    The enormous expectation created by a stupid political controversy only generated a disappointing feeling in front of a comedy without depth. [Full review in Spanish]
                ",0
19,2017-02-06,/critic/andrew-jones,"
                    Hysterical, silly, big dumb fun that makes for a great night out with your friends.
                ",1
20,2016-09-26,/critic/emily-vanderwerff-14823,"
                    Even the film's most ardent champions would likely concede that The Interview is a spectacularly weird film to end up at the center of a free speech brouhaha.
                ",0
21,2016-06-07,/critic/jason-bailey,"
                    It's funny and strange, with an admirably gonzo sensibility, and it approaches the job of mocking Kim with the appropriate degree of joy-buzzer delight.
                ",1
22,2016-04-14,/critic/j-olson,"
                    [Franco's] free-spirited screen presence gives the film the kind of anarchic momentum it requires, mirroring its totally-serious-but-not-at-all-serious bent.
                ",1
23,2015-12-21,/critic/tom-meek,"
                    The Interview, conversely, is little more than a sloppy air kiss blown lazily under the banner of free speech.
                ",0
24,2015-08-20,/critic/scott-marks,"
                    The suffocating level of redundancy on display kneecaps any legitimate chance the film had at embracing social satire.
                ",0
25,2015-08-17,/critic/norman-wilner,"
                    I liked it for what it is.
                ",1
26,2015-08-17,/critic/helen-ohara-12122,"
                    There has never been as silly and inconsequential a film that prompted as huge a political fuss as this.
                ",0
27,2015-08-17,/critic/stephen-schaefer,"
                    Whether it lives up to its reputation as a banner for the rights of ""artists"" to fictionally assassinate a living head of state might be debatable. Whether it is truly funny, outrageous or touching is obvious: It is not.
                ",0
28,2015-08-17,/critic/michael-smith,"
                    But for those who want to see The Interview because their curiosity has been piqued, many will exit realizing that all the hubbub was much ado about nothing.
                ",0
29,2015-08-17,/critic/kristian-m-lin,"
                    There's a good point to be made about how journalists can be co-opted by access to the powerful people they're supposed to be holding accountable. Unfortunately, Rogen and Goldberg aren't the filmmakers to make this point.
                ",0
30,2015-06-04,/critic/kirsty-leckie-palmer,"
                    Demonstrates an abject carelessness which is more offensive than any other wrongdoing of which The Interview has been accused.
                ",0
31,2015-04-04,/critic/david-nusair,"
                    ...a slight improvement over Seth Rogen and Evan Goldberg's directorial debut, 2013's This Is the End...
                ",1
32,2015-03-12,/critic/simon-miraudo,"
                    Super sloppy and very, very silly, The Interview at least doesn't pull its punches.
                ",1
